Zhang Xiaorui|None!!!Intelligent Information Processing and Data Mining in the Application of Mobile Learning
Liping Deng|China West Normal University!!!Dynamic group behavior for real-time multi-agent crowd simulation
Jianshi Yao|None!!!Service composition execution optimization based on state transition matrix for cloud computing
Yanjun Wang|None!!!Balancing User Profile and Social Network Structure for Anchor Link Inferring Across Multiple Online Social Networks
Guosun Zeng|None!!!Microservices Architecture Based Cloudware Deployment Platform for Service Computing*@*Towards Cloudware Paradigm for Cloud Computing
Peidong Zhu|None!!!SocAware: A Middleware for Social Applications in Online Social Networks
Jingli Zhou|None!!!A Novel Computing-Enhanced Cloud Storage Model Supporting Combined Service Aware
Yuezhong Tang|None!!!Improved percolation theory incorporating power flow analysis to model cascading failures in Cyber-Physical Power System
Zhenjun Du|Dalian Maritime University!!!A secure cross-platform mobile IM system for enterprise applications
Feilong Lin|None!!!Cognitive Radio Enabled Transmission for State Estimation in Industrial Cyber-Physical Systems*@*Cognitive Radio Enabled Transmission for State Estimation in Industrial Cyber-Physical Systems*@*Cognitive Radio Enabled Transmission for State Estimation in Industrial Cyber-Physical Systems
Hai Huang|China University of Mining and Technology!!!Design and optimization of beacon nodes for localization in mobile application
Jianwei Chen|None!!!Participant-Density-Aware Privacy-Preserving Aggregate Statistics for Mobile Crowd-Sensing*@*Participant-Density-Aware Privacy-Preserving Aggregate Statistics for Mobile Crowd-Sensing
Yangjie Wei|None!!!An Intelligent Hearing Aid System Based on Real-Time Signal Processing
Gang Qian|None!!!Sleep mode IDDQ failure analysis in 28nm mobile application
Julei Fu|None!!!Social Network Construction and Analysis Based on Community Photo Collections with Face Recognition
Bixiao Xu|University of Posts and Telecommunications!!!A hybrid recommendation algorithm based on social networks
Genying Wang|Beijing Jiaotong University!!!Analysis and detection of spam accounts in social networks
Guolin Niu|The University of Hong Kong!!!Modeling video viewing and sharing behaviors in online social networks*@*Multi-Source-Driven Asynchronous Diffusion Model for Video-Sharing in Online Social Networks*@*Temporal Behavior of Social Network Users in Information Diffusion*@*The Impacts of Network Structure on User Activity Level in Online Social Networks*@*Sequential pricing for social networks with multi-state diffusion
Yan Ma|Beijing University of Posts and Telecommunications!!!QoS-aware service selection in virtualization-based Cloud computing*@*Research of presence service testbed on cloud-computing environment
Guoli Pang|None!!!A real time MAC protocol for mobile ad hoc networks application
Chen Lv|Shandong Normal University!!!Efficient Dynamic Evolution of Service Composition*@*Design optimization of the control system for the powertrain of an electric vehicle: A cyber-physical system approach
Jia Xu|Tsinghua University!!!An ant colony optimization method to detect communities in social networks*@*Limited Intervention Collaborative Decision Making of MAV-UAV Team Based on VFCM
Xiaowen Yang|None!!!Identifying Influential Actors in Social Network Platforms
Zhitao Wu|Beihang University!!!Cyber-physical avionics systems and its reliability evaluation
Simon C. K. Shiu|None!!!Collaborative Discovering Influences of News in Social Network Sites
SHEN Qi|Beijing University of Technology!!!A Service Discovery Architecture based on Anycast in Pervasive Computing Environments
Chen Li|Beijing University of Aeronautics and Astronautics!!!A Single-Chip CMOS UHF RFID Reader Transceiver for Chinese Mobile Applications*@*One fast RL algorithm and its application in mobile robot navigation*@*Estimating Software System Reliability: An Architecture-Based Approach*@*A Formal Model for Resource Protections in Web Service Applications*@*BGM-BLA: A New Algorithm for Dynamic Migration of Virtual Machines in Cloud Computing*@*BGM-BLA: A New Algorithm for Dynamic Migration of Virtual Machines in Cloud Computing*@*Mobility Viewer: An Eulerian Approach for Studying Urban Crowd Flow
Jianye Yu|None!!!Identifying Interaction Groups in Social Network Using a Game-Theoretic Approach
Donghua Liu|None!!!A Video Objects Classification Method Based on GLDM and SVDD
Huaxin Li|Shanghai Jiao Tong University!!!De-anonymizing social networks: Using user interest as a side-channel
Yasha Wang|Peking University!!!crowddeliver: Planning City-Wide Package Delivery Paths Leveraging the Crowd of Taxis*@*crowddeliver: Planning City-Wide Package Delivery Paths Leveraging the Crowd of Taxis*@*QTime: A Queuing-Time Notification System Based on Participatory Sensing Data*@*A Participant Recruitment Framework for Crowdsourcing Based Software Requirement Acquisition*@*Helping Campaign Initiators Create Mobile Crowd Sensing Apps: A Supporting Framework*@*QTime: A Queuing-Time Notification System Based on Participatory Sensing Data*@*A Participant Recruitment Framework for Crowdsourcing Based Software Requirement Acquisition*@*Helping Campaign Initiators Create Mobile Crowd Sensing Apps: A Supporting Framework*@*WSelector: A Multi-scenario and Multi-view Worker Selection Framework for Crowd-Sensing*@*WSelector: A Multi-scenario and Multi-view Worker Selection Framework for Crowd-Sensing
Liya Fan|None!!!A Semi-Automatic Approach of Transforming Applications to be Multi-Tenancy Enabled
Jia-Dong Zhang|None!!!EventRec: Personalized Event Recommendations for Smart Event-Based Social Networks
Qixuan Wang|None!!!Explore Social Question and Answer System Based on Relationships in Social Network
Xiaosong Hu|None!!!Cyber-Physical Control for Energy-Saving Vehicle Following with Connectivity
Junheng Huang|None!!!A collaborative filtering algorithm based on social network information*@*A collaborative filtering algorithm fusing user-based, item-based and social networks
Zhuo Hao|University of Science and Technology of China!!!RandTest: Towards more secure and reliable dataflow processing in cloud computing
Yin Quan-jun|None!!!Rule-Drove Social Force Behavior Modeling
Cho-Li Wang|None!!!Lightweight Application-Level Task Migration for Mobile Cloud Computing
Guanfeng Li|Electronic & Information Engineering College of Henan University of Science and Technology!!!A Service Self-Optimization Algorithm based on Autonomic Computing
Naixue Xiong|None!!!Scheduling Parallel Cloud Computing Services: An Evolutional Game
Haitao Du|None!!!An Intra-Cluster CoMP Based Sleep-Mode Scheme in Dense Heterogeneous Network
Rongxin Tang|Nanchang University!!!Investigation of the Shielding Length on Yukawa System Crystallization in Mobile Sensor Network Applications
Hai-Ning Liang|None!!!Building a smart laboratory environment at a university via a cyber-physical system
Zheng Xu|Zheng Xu is with The Third Research Institute of the Ministry of Public Security and Tsinghua University!!!Crowdsourcing based Description of Urban Emergency Events using Social Media Big Data*@*Crowdsourcing based Description of Urban Emergency Events using Social Media Big Data*@*Crowd Sensing of Urban Emergency Events Based on Social Media Big Data*@*Crowd Sensing of Urban Emergency Events Based on Social Media Big Data
Dawei Du|None!!!Abnormal event detection in crowded scenes based on Structural Multi-scale Motion Interrelated Patterns
Jing Yu Li|Central South University!!!The application of multi-objective differential evolution algorithm in the combustion process of coke oven
Xiaomin Zhu|None!!!A recommendation model based on collaborative filtering and factorization machines for social networks*@*An Integration Technology for Socially Aware Mobile Applications in Heterogeneous Networking Environments
Ban Yinfeng|None!!!Energy Consumption Analysis Method of CPS Software Based on Architecture Modeling
Mengmeng Gao|None!!!Study of individual's risk perception in collective violent events
Tiejun Huang|None!!!A system based on sequence learning for event detection in surveillance video
Banji Guan|None!!!Cloud computing platform and big data service for incubator cluster
Shaoliang Wu|Huazhong University of Science and Technology!!!Minimizing Inter-Server Communications by Exploiting Self-Similarity in Online Social Networks
Xueguang Wu|None!!!Data Race Detection for Interrupt-Driven Programs via Bounded Model Checking
Chunhai Kou|Donghua University!!!Cyber-physical systems as general distributed parameter systems: three types of fractional order models and emerging research opportunities
Sanyuan Zhang|Zhejiang University!!!A mobile medical application design model in social perspective
Guo Sheng|None!!!Mathematical Models for Simulating Coded Digital Communication: A Comprehensive Tutorial by Big Data Analytics in Cyber-Physical Systems
Yiping Wen|None!!!The Expert System of Locomotive Running Gear Based on Sematic Network*@*Research on the Social Acquaintance Network Oriented Group Buying
Yuchen Zhang|The Northwestern Polytechnical University!!!Architecture and real-time characteristics analysis of the cyber-physical system
Rong Zhu|East China Jiaotong University!!!Adaptive mode assignment in performance-critical cyber-physical systems
Qiang Chen|None!!!Research on Cloud Computing Resource Management Model Based on Multi-Agent System*@*Application of Naive Bayes Classifier in Stampede Risk Early-Warning of Large-Scale Activities
Zhao Qianchuan|Tsinghua University!!!An effective framework to simulate the cyber-physical systems with application to the building and energy saving
Lei Xu|None!!!Resource Allocation Based on Double Auction for Cloud Computing System
Shipeng Yu|None!!!Modeling for Short-Form HTTP Adaptive Streaming Considering Memory Effect
Jiahao Wang|None!!!Distributed privacy preserving matchmaking protocol based on dynamic interest level in mobile social networks
Dongfeng Yuan|None!!!Deep Learning Based Link Prediction with Social Pattern and External Attribute Knowledge in Bibliographic Networks
Dehui Du|None!!!Specifying Cyber Physical System Safety Properties with Metric Temporal Spatial Logic*@*Improved Co-Simulation with Event Detection for Stochastic Behaviors of CPSs*@*Evaluating Energy Consumption for Cyber-Physical Energy System: An Environment Ontology-Based Approach*@*Modana: An Integrated Framework for Modeling and Analysis of Energy-Aware CPSs
Ji Wu|None!!!Agaric — A hybrid cloud based testing platform
Kewei Li|None!!!Joint Optimal Congestion Control and Channel Assignment for Multi-Radio Multi-Channel Wireless Networks in Cyber-Physical Systems
Rong-Hua Li|Shenzhen University!!!Exploring Hierarchies in Online Social Networks
Yanan Sun|Xi'an Jiaotong University!!!A cyber-physical monitoring system for attack detection in smart grid
Chengqi Yi|Harbin University of Science and Technology!!!Effective deployment of monitoring points on social networks*@*Cascading failures of social networks under attacks
Weidong Liu|None!!!HLGPS: A Home Location Global Positioning System in Location-Based Social Networks*@*Context Aware Matrix Factorization for Event Recommendation in Event-Based Social Networks*@*Fast Routing in Location-Based Social Networks Leveraging Check-in Data
Weisheng Hu|Shanghai Jiao Tong University!!!SOA-Based Inter-Domain OVPN Service for Coordinated Scheduling of Distributed Computing
Junyi Wang|Guilin University of Electronic Technology!!!Adaptive application offloading decision and transmission scheduling for mobile cloud computing*@*Adaptive application offloading decision and transmission scheduling for mobile cloud computing*@*Adaptive application offloading decision and transmission scheduling for mobile cloud computing
Yi-Wei Ma|Shanghai Maritime University!!!SDN-enabled network virtualization for industry 4.0 based on IoTs and cloud computing
Jinlong Wang|Tsinghua University!!!An effective framework to simulate the cyber-physical systems with application to the building and energy saving*@*Robust Spectrum Sensing with Crowd Sensors*@*Cellular-Base-Station-Assisted Device-to-Device Communications in TV White Space*@*Robust Spectrum Sensing With Crowd Sensors
Shiming Li|None!!!Prototyping Efficient Desktop-as-a-Service for FPGA Based Cloud Computing Architecture
Xiujun Zhang|Shenzhen University!!!Cloudets: Cloud-based cognition for large streaming data
Fan Yuanliang|None!!!Traffic scheduling with sustainable Cyber Physical Systems applying in smart grid
Ling Shi|Hong Kong University of Science and Technology!!!Jamming attack on Cyber-Physical Systems: A game-theoretic approach*@*Jamming Attacks on Remote State Estimation in Cyber-Physical Systems: A Game-Theoretic Approach*@*Jamming attack in centralized state estimation*@*Stochastic online sensor scheduler for remote state estimation*@*Optimal DoS attack strategy against remote state estimation over lossy networks
Jian Cao|None!!!Towards Truthful Mechanisms for Mobile Crowdsourcing with Dynamic Smartphones*@*Towards Truthful Mechanisms for Mobile Crowdsourcing with Dynamic Smartphones*@*Combined Cache Policy for Service Workflow Execution Acceleration*@*Mining Service Social Relations Based on Service Network Modeling and Analyzing*@*Service Discovery and Recommendation in Rough Hierarchical Granular Computing*@*A Dynamic Resource Management Strategy for Cloud Based on Sequential Decision Model and Demand Forecast*@*Towards Truthful Mechanisms for Mobile Crowdsourcing with Dynamic Smartphones
Guodong Li|None!!!A resource occupation ratio based virtual network balanced mapping algorithm in cloud computing environment
Tao Peng|Central South University!!!Verifiable Ranked Search over dynamic encrypted data in cloud computing
Jinsong Han|None!!!Wi-Fi Fingerprint Based Indoor Localization without Indoor Space Measurement
Yanhui Ding|None!!!Multi-tenants Data Duplication Secure Storage in SaaS
Yan Jia|None!!!Overlapping Community Detection on Dynamic Social Network
Shuang Zhang|University of Science and Technology!!!A survey of semantic similarity and its application to social network analysis
Zhaowen Tao|Beihang University!!!Modeling user's preference in folksonomy for personalized search
Hong Luo|None!!!Privacy-Preserving Recoverable Photo Sharing in Mobile Social Network
Zhengquan Xu|None!!!Trusted Service Application Framework on Mobile Network
Ming Zhao|Central South University!!!On Selecting Vehicles as Recommenders for Vehicular Social Networks*@*Building Collaboration System of Air Logistics Service Chain Based on Cloud Computing
Hong Li|University of Science and Technology Beijing!!!Dynamic configuration of service based processes in cloud computing using linear programming
Baoqing Wang|Beihang University!!!Reliability of cyber physical systems assessment of the aircraft fuel management system
Sangen Wang|None!!!The Construction of Service Exploration Model in Pervasive Computing Environments
Ying Zhang|None!!!A Study of the Commercial Application of Big Data of the International Hotel Group in China: Based on the Case Study of Marriott International*@*JavaScript Offloading for Web Applications in Mobile-Cloud Computing
Xiqiao Zhang|None!!!Social media based transportation research: the state of the work and the networking
Yongchun Hu|None!!!Optimal Design of Cognitive Radio Wireless Parameters based on Non-dominated Neighbor Distribution Genetic Algorithm
Guizhang Lu|None!!!A New Service Description, Matching and Selection Mechanism for Pervasive Computing
Cai Wandong|None!!!Epidemic spreading model based on social active degree in social networks
Teng Xu|None!!!A system based on sequence learning for event detection in surveillance video
Daqiang Zhang|Tongji University!!!Context-aware vehicular cyber-physical systems with cloud support: architecture, challenges, and solutions*@*Task Scheduling in Cyber-Physical Systems*@*Guest Editorial: Special Issue on Cloud-Integrated Cyber-Physical Systems
Jiao Bao Cong|Capital Normal University!!!The research on e-book-oriented mobile learning system environment application and its tendency
Dong Lili|None!!!User identification based on multiple attribute decision making in social networks
Zhizheng Zhou|None!!!Service-Oriented Computing and Software Integration in Computing Curriculum*@*Robot as a Service in Computing Curriculum
Yongxiong Zhang|None!!!Research on Mobile SVG Map Service Based on Java Mobile Phone
FengHua Zhu|None!!!Interventions of traffic flow for intersection based on interval type-2 fuzzy sets
F. Zhu|None!!!A cellular automata based evacuation model on GPU platform
Zhou Zheng|None!!!Comparative analysis of mobile application stores in different charging modes
Jun Zhang|Dalian University of Technology!!!A Hybrid Mechanism for Innovation Diffusion in Social Networks*@*Multimodal Estimation of Distribution Algorithms*@*Industry 4.0 with cyber-physical integration: A design and manufacture perspective
Man-Ching Yuen|None!!!A Survey of Crowdsourcing Systems*@*Task Matching in Crowdsourcing*@*A Survey of Crowdsourcing Systems*@*Task Matching in Crowdsourcing
Xiao Wang|None!!!VoteTrust: Leveraging Friend Invitation Graph to Defend against Social Network Sybils*@*Improved Co-Simulation with Event Detection for Stochastic Behaviors of CPSs*@*Topic Block: Mining User Inner Interests for Text and Link Analysis in Social Networks*@*Modana: An Integrated Framework for Modeling and Analysis of Energy-Aware CPSs
Jianhua Shi|Shanxi Datong University!!!Association Rule Mining of Personal Hobbies in Social Networks*@*A survey of Cyber-Physical Systems
Wu Hong-Qiang|None!!!Resource Scheduling Based on Improved FCM Algorithm for Mobile Cloud Computing*@*Research of User Request Algorithm in Mobile Cloud Computing Based on Improved FCM and Collaborative Filtering
Yueyue Chen|National University of Defense Technology!!!Leveraging Crowd to improve data credibility for mobile crowdsensing
Jiangwei Wu|State Key Laboratory of Precision Measurement Technology and Instrument Department of Precision Instruments，Tsinghua University Beijing!!!Identification of multiple harmonic sources in cyber-physical energy system using supervised independent component analysis*@*Non-intrusive sensing based multi-model collaborative load identification in cyber-physical energy systems*@*Hierarchical sparse learning for load forecasting in cyber-physical energy systems*@*Non-intrusive sensing based multi-model collaborative load identification in cyber-physical energy systems
Kunhui Lin|Software School of Xiamen University!!!Friend recommendation algorithm based on location-based social networks*@*Adaptive location recommendation algorithm based on location-based social networks
Guoliang Li|Tsinghua University!!!Crowdsourced Data Management: A Survey*@*Real time personalized search on social networks
Tang Junjie|None!!!Cyber-physical systems modeling method based on Modelica
Guixia Xiao|Xiangtan University!!!An Spanning Tree based method for pruning non-dominated solutions in multi-objective optimization problems
Weixin Xie|Shenzhen University!!!An Efficient File Hierarchy Attribute-Based Encryption Scheme in Cloud Computing*@*Attribute-Based Data Sharing Scheme Revisited in Cloud Computing
Xiaoli Lin|None!!!Opinion Leaders Discovering in Social Networks Based on Complex Network and DBSCAN Cluster
Youxian Sun|Zhejiang University!!!Cognitive Radio Based State Estimation in Cyber-Physical Systems*@*An Online Optimization Approach for Control and Communication Codesign in Networked Cyber-Physical Systems
Hongbin Wang|None!!!Research on Communities Detection in Social Network
Jinshi Cui|Peking University!!!Detection and Tracking of Moving Objects at Intersections Using a Network of Laser Scanners
Sailing He|South China Normal University!!!Compact broadband printed antenna for mobile phone applications
Jiaxin Huang|Tsinghua University!!!Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach
Kan Zheng|Beijing University of Posts and Telecommunications!!!A Survey of Collaborative Filtering-Based Recommender Systems for Mobile Internet Applications
Liangrui Peng|None!!!XFace: A Face Recognition System for Android Mobile Phones
Daniel Zeng|None!!!Time Critical Disinformation Influence Minimization in Online Social Networks
Bo An|None!!!Challenges and Opportunities for Trust Management in Crowdsourcing*@*Challenges and Opportunities for Trust Management in Crowdsourcing
Jun-Liang Chen|None!!!Knowledge-Learning Service Construction Based on Events*@*Fragmentation and Optimal Deployment for IoT-Aware Business Process
Zhong Li|Donghua University!!!Modeling Data Transport Capacity of Mobile Networks for Mobile Social Services*@*Space-Crossing: Community-Based Data Forwarding in Mobile Social Networks Under the Hybrid Communication Architecture*@*Improving data forwarding in Mobile Social Networks with infrastructure support: A space-crossing community approach*@*LASS: Local-Activity and Social-Similarity Based Data Forwarding in Mobile Social Networks*@*Capacity Scaling of Wireless Social Networks
Shi Xiaofei|Dalian Maritime University!!!Study of AIS application for Vessel Traffic Service
Lihua Zhou|Yunnan University!!!SQNR: A System for Querying Nodes and relations in multi-relational social networks*@*A Hierarchical Agglomerative Algorithm of Community Detecting in Social Network Based on Enhanced Similarity
Wei-zhuo Sun|None!!!Potential Grads Model Based Quasi-Dynamic Method for Escape Route Distribution
Pingyu Jiang|Xi'an Jiaotong University!!!Social manufacturing: A survey of the state-of-the-art and future challenges
Guojian Cheng|Xi'an Peihua University!!!Data centre transformation: Integrated business model framework of cloud computing oriented data centre
Yanjun Gui|None!!!Purchase decision of cloud computing services under different instance utilization
Eric Ke Wang|None!!!Security Issues and Challenges for Cyber Physical System
Xuewu Zhou|None!!!A Survey on Quality Assurance Techniques for Big Data Applications
Quan Qi|None!!!A New Way of Combining RDP and Web Technology for Mobile Virtual Application
Wenbo Wu|Beihang University!!!Risk assessment method for cybersecurity of cyber-physical systems based on inter-dependency of vulnerabilities*@*Risk assessment method for cyber security of cyber physical systems
Jinyan Zhou|Henan University of Technology!!!Integration framework of multi-source heterogeneous spatial information and remote computing based on web services
Junxin Qi|None!!!Dynamic Taint Tracking of Web Application Based on Static Code Analysis
Jing Fang|None!!!A Novel Storage and Search Scheme in Cloud Computing*@*Review on community detection algorithms in social networks*@*A survey of user classification in social networks
Qiao Chen|None!!!Research of University Teaching Resources Service under Cloud Computing Environment
Siyao Cheng|None!!!Time-Bounded Positive Influence in Social Networks
Zhengjun Cao|None!!!Modification of One Forward Secure Ring Signature Scheme Based on Bilinear Groups of Composite Order
Xusen Cheng|None!!!Designing of a Mobile Collaboration Application for Student Collaborative Group Work: Evidence from China
Chun-hua Chen|Shaanxi Xueqian Normal University!!!Exploring the most critical interplays of mobile-applications in the purchaser's decision and behavior procedures
Raymond Y. K. Lau|None!!!A Probabilistic Generative Model for Mining Cybercriminal Networks from Online Social Media
Ning Deng|None!!!A 25-Gb/s 20-km wavelength reused WDM system for mobile fronthaul applications
Hongbing Zhao|None!!!An energy management strategy for energy-sustainable Cyber-physical system*@*A Cyber-physical Energy System Architecture for Electric Vehicles Charging Application
Jingjin Wang|Software School of Xiamen University!!!Adaptive location recommendation algorithm based on location-based social networks
Shuhua Zhang|None!!!General Construction for the Resources Information Library of Shaanxi Folk Culture and Art
Jiajia Xu|None!!!Two-Step-Ranking Secure Multi-Keyword Search over Encrypted Cloud Data*@*A Fast Privacy-Preserving Multi-keyword Search Scheme on Cloud Data
Dongbin Wang|None!!!An Optimal Controller Design for CPS with Stochastic Time Delay
Jin-Hua Chen|University of Electronic Science and Technology of China!!!Compact PIFA using capacitive coupled-fed for LTE/GSM/UMTS WWAN operation in the mobile application
Chang-e Dou|None!!!The service system of urban parking guidance based on GIS in Lianyungang, China
Li Yanping|None!!!Research about Spam Page Identification Based on Cloud Computing in Search Service
Yuan-xi Jiang|None!!!A Secure Routing Protocol with Malicious Nodes Detecting and Diagnosing Mechanism for Wireless Sensor Networks
Zhang Gonglin|None!!!Traffic scheduling with sustainable Cyber Physical Systems applying in smart grid
Hui Wang|Physics and Information Engineering Zhejiang Normal University Jinhua!!!Diffusion Dynamics in Structured Online Social Networks with Push-Based Forwarding Mechanism*@*Analysis of Degree Distribution for a Duplication Model of Social Networks*@*A Method to Measure User Influence in Social Network Based on Process Log*@*A framework for spatio-temporal context query in open space based on GPS data*@*Impact of Structure Balance on Opinion Spreading in Signed Social Networks*@*The fog computing service for healthcare
Zhang Junxing|None!!!Time-Aware Semantic Web Service Recommendation
Shiyong Wang|South China University of Technology!!!A smart factory solution to hybrid production of multi-type products with reduced intelligence*@*A Manufacturing Big Data Solution for Active Preventive Maintenance*@*Software-Defined Industrial Internet of Things in the Context of Industry 4.0
Xisong Dong|None!!!Service composition execution optimization based on state transition matrix for cloud computing*@*Cyber-physical-social system in intelligent transportation
Qing Wang|None!!!Spiral of silence in social networks: A data-driven approach*@*Heterogeneous Network Analysis of Developer Contribution in Bug Repositories
Xi Li|University of Science and Technology of China!!!A Classroom Scheduling Service for Smart Classes
Miao Yu|None!!!A cyber-physical architecture for industry 4.0-based power equipments detection system*@*Heterogeneous Sparse Relational Data Co-clustering in Social Network
Aiwu Shi|University of International Business and Economics!!!Applying cloud computing in financial service industry
Yuanhao Li|Peking University!!!Influential Node Tracking on Dynamic Social Network: An Interchange Greedy Approach
Xiaohui Wang|University of Science and Technology Beijing!!!Modeling Emotion Influence in Image Social Networks*@*Optimal Cloud Computing Resource Allocation for Demand Side Management in Smart Grid
Ying Feng|None!!!Dual wide-band four-unit MIMO antenna system for 4G/LTE and WLAN mobile phone applications
Chunhui Piao|None!!!Mobile Commerce Trust Model and its Application for Third Party Trust Service Platform
Songlin Hu|None!!!Two-phase graph search algorithm for QoS-aware automatic service composition
Dongfang Liang|None!!!Study on Integrated Modeling Methods toward Co-simulation of Cyber-Physical System*@*An Implementation towards Integrated Simulation of Cyber-physical Systems
Xingyu Xie|None!!!Mining User Behavior and Similarity in Location-Based Social Networks
Haoran Sun|None!!!Friend Recommendation Algorithm for Online Social Networks Based on Location Preference
Wenting Zhi|Beijing University of Posts and Telecommunications!!!Exploring mobile users and their effects in online social networks: A Twitter case study
Zhao Du|Tsinghua University!!!Multi-domain cloud social network service platform supporting online collaborations on campus*@*Location-based social networking information services in university campus
Xing Wu|None!!!Optimal Pricing of Multi-model Hybrid System for PaaS Cloud Computing*@*Self-Adaptive Cloud Pricing Strategies with Markov Prediction and Data Mining Method*@*Pricing as a Service: Personalized Pricing Strategy in Cloud Computing
Shuai Zhang|University of Science and Technology of China!!!A camera-based real-time polarization sensor and its application to mobile robot navigation
Xiaoyuan Xie|Wuhan University!!!Localizing Runtime Anomalies in Service-Oriented Systems
Xiaowei Li|None!!!An effective community detection algorithm of the social networks
Ran Tao|None!!!Passive Storage Based Wireless Network Resource Management for 4G LTE*@*Modeling for Short-Form HTTP Adaptive Streaming Considering Memory Effect
H. L. Xu|None!!!Resonant structures and applications to mobile handset antennas
Xinming Li|None!!!Research on dynamic reconfiguration technology of cloud computing virtual services
Zehui Mao|Nanjing University of Aeronautics and Astronautics!!!Sliding mode control for a class of nonlinear systems with application to a wheeled mobile robot
Wandong Cai|Northwestern Polytechnical University!!!Propagation dynamics based on social contact probability on social network
Lanfen Lin|None!!!New word identification in social network text based on time series information
Zlatoljub D. Milosavljevic|None!!!An Enhanced Multiple-Mode penta-band Antenna (EMMA) for mobile applications with improved beside head and hand performance
Lu Ma|Beijing University of Chemical Technology!!!Observing the evolution of social network on Weibo by sampled data
Z. Chen|None!!!How Scalable Could P2P Live Media Streaming System Be with the Stringent Time Constraint?
Shuoyan Lu|None!!!Maximizing the Availability of Process Services in Mobile Computing Environments
Guowen Xu|None!!!Towards Efficient Privacy-Preserving Truth Discovery in Crowd Sensing Systems*@*Towards Efficient Privacy-Preserving Truth Discovery in Crowd Sensing Systems
Yigang Wang|Hangzhou Dianzi University!!!Extending Intelligent Space with Ubiquitous Computing Technology: the Rich Servants Service Model
Chunfu Jia|None!!!The Scheme of Detecting Encoded Malicious Web Pages Based on Information Entropy*@*The Approach to Detect Abnormal Access Behavior Based on Naive Bayes Algorithm*@*A Secure Architecture for Data Storage in the Cloud Environments*@*New Privacy-Preserving Location Sharing System for Mobile Online Social Networks*@*B-Mobishare: Privacy-Preserving Location Sharing Mechanism in Mobile Online Social Networks
Liu Xuan|None!!!iConCube: A Location-Based Mobile Cloud System for Meeting Organizers and Participants
Nan Sang|None!!!Periodic Real-Time Message Scheduling for Confidentiality-Aware Cyber-Physical System in Wireless Networks
Hua-Zhong Yang|Tsinghua University!!!Challenges at circuit designs for resistive-type Nonvolatile memory and nonvolatile logics in mobile and cloud applications
Jing-yu Yang|None!!!An Improved Individual Evaluation and Elitism Selection for Distribution Performance of SPEA2
Xiaoguang Fan|The University of Hong Kong!!!Connecting People at a Conference: A Study of Influence between Offline and Online Using a Mobile Social Application*@*Multi-Source-Driven Asynchronous Diffusion Model for Video-Sharing in Online Social Networks
Xin Ke|None!!!Friendship influence on mobile behavior of location based social network users
Ming-qing Xiao|Air Force Engineering University!!!Cloud computing and exploration of its application to test field and PHM
Xiangyang Sun|None!!!The service system of urban parking guidance based on GIS in Lianyungang, China
Xiaoqing Yu|None!!!Association Rule Mining of Personal Hobbies in Social Networks*@*Identifying TOP-N opinion leaders on local social network
Tracy Xiao Liu|Tsinghua University!!!Learning triadic influence in large social networks
Fenghua Zhu|None!!!Growing Spatially Embedded Social Networks for Activity-Travel Analysis Based on Artificial Transportation Systems*@*Cyber-physical-social system in intelligent transportation
Jingzhong Li|None!!!Application in Grid Workflow Scheduling Based on DMOPSO Algorithm
Ting Li|Central South University!!!A Similarity Scenario-Based Recommendation Model With Small Disturbances for Unknown Items in Social Networks*@*On Selecting Vehicles as Recommenders for Vehicular Social Networks*@*Research on the security model of mobile application
Zhe-Jun Jin|Qingdao University!!!A slot antenna with multiple steps for mobile phone applications
ZhiQiang He|Beijing University of Posts and Telecommunications!!!Exploiting the topology property of social network for rumor detection
Kun Wang|Nanjing University of Posts and Telecommunications!!!An Empirical Research on Relation Model of Campus Social Networks Based on Centrality Analysis*@*Dynamic Resource Partitioning for Heterogeneous Multi-Core-Based Cloud Computing in Smart Cities*@*An improved artificial bee colony algorithm for cloud computing service composition*@*K-Source: Multiple source selection for traffic offloading in mobile social networks
Limin Pan|None!!!QoS-Based Distributed Service Selection in Large-Scale Web Services
Bei Cheng|None!!!Improved Co-Simulation with Event Detection for Stochastic Behaviors of CPSs*@*Modana: An Integrated Framework for Modeling and Analysis of Energy-Aware CPSs
Zhixin Liu|None!!!Bipartite Consensus for Global Trust in Social Network Services
Bin Feng|Dalian University of Technology!!!An Efficient Protocol With Bidirectional Verification for Storage Security in Cloud Computing
Lingguang Lei|None!!!A Threat to Mobile Cyber-Physical Systems: Sensor-Based Privacy Theft Attacks on Android Smartphones
Hong Zhou|China University of Geosciences!!!Analysis of production data manipulation attacks in Petroleum Cyber-Physical Systems
Zhi-fang Liu|Department of System Engineering Beihang University Beijing!!!SOA based mobile application software test framework
Jiuxin Cao|None!!!On crowd-retweeting spamming campaign in social networks
Weiguo Lin|Community University of China!!!Radio and television operators cloud computing infrastructure research system
Dongjie Zhao|None!!!Visualizing revisions and building semantic network in Wikipedia
Kaigui Bian|Peking University!!!WE-CARE: An Intelligent Mobile Telecardiology System to Enable mHealth Applications*@*Interactive crowdsourcing to spontaneous reporting of Adverse Drug Reactions*@*On diffusion-restricted social network: A measurement study of WeChat moments*@*Never Live Without Neighbors: From Single- to Multi-Channel Neighbor Discovery for Mobile Sensing Applications
